From	To
Q8NEM1	340252
Q9Y496	11127
Q6ZWJ1	252983
Q8TAM1	79738
Q8NEX6	259239
Q8IY50	148641
P57723	57060
Q8N567	84240
Q96EY1	9093
P35321	6698
Q9Y6A4	29105
Q7Z5J1	374875
Q5JTN6	401551
P02795	4502
Q9BWM5	55659
Q15038	9802
Q2M296	64779
P10071	2737
Q8IWW6	94134
Q8NCR3	160140
P49356	100529261
P49356	2342
Q9BYJ4	53840
Q9UIK5	23671
Q9NR16	283316
Q96SW2	51185
Q9H4M3	93611
P86479	122183
P86479	729233
P86479	729240
P86479	729246
P86479	729250
Q96P47	116988
O43572	11216
O15121	8560
P07910	3183
Q8NA92	199745
P63092	2778
P54829	84867
O60284	9705
Q9GZN6	28968
O14521	6392
Q15475	6495
P46379	7917
Q6HA08	431705
Q8N2M8	11129
Q6ZN57	80108
Q13621	6557
Q03393	5805
Q9H9D4	79797
Q6P280	57711
Q9H2U1	170506
Q96NW4	84079
P02790	3263
P11511	1588
P37235	3241
Q96ED9	29911
Q8NH03	343173
Q18PE1	285489
A8MUM7	148003
P31947	2810
P28335	3358
P49913	820
Q9Y236	734
Q9NWL6	54529
Q14814	4209
Q8TCB7	131965
Q6MZW2	23105
Q9UHN6	23670
O94901	23353
Q9P2C4	57583
Q96G23	29956
Q7L1I2	9899
Q9P2S2	9379
Q8WTR2	142679
Q5VZV1	196541
Q5TF58	126917
P43360	4105
Q8TEY5	148327
Q2M3G0	340273
Q6I9Y2	80145
Q15125	10682
Q8TD16	23299
Q01534	100289087
Q01534	7258
Q01534	728137
Q96LZ7	151393
P11230	1140
Q15884	9413
Q6IPW1	54494
Q99490	116986
Q9HBJ8	57393
P26441	1270
Q13523	8899
O00559	9166
Q15834	11007
Q562R1	345651
O75477	10613
Q5VST9	84033
P36956	6720
O43182	395
Q9Y5E5	56131
P13501	6352
P08123	1278
P08048	7544
P02749	350
Q92499	1653
Q9ULX9	23764
Q86UL3	137964
P46781	6203
Q9BVI4	79050
P98073	5651
Q5TCS8	221264
P27930	7850
Q9UBF8	5298
Q9Y620	25788
Q9NX63	54927
Q5R372	9910
A8K8P3	9814
Q9H446	51389
Q9BUY5	79088
Q86Y22	91522
P0C671	389384
Q6ZRS2	10847
Q06203	5471
P84157	439921
O60684	23633
Q9UMD9	1308
Q9UKT9	22806
Q14164	9641
Q15468	6491
O95785	58525
Q96RT1	55914
Q8N3Z6	84186
Q9UDX3	284904
Q96NY8	81607
A8MTL9	284293
Q9UMR7	50856
O75121	9848
P35754	2745
P29350	5777
Q02556	3394
P09923	248
Q6ZS11	126432
Q8TCJ2	201595
P04196	3273
Q9Y484	11152
O00634	4917
P17661	1674
Q9HAT0	54763
O14978	10127
Q5TYW1	26149
Q9P1Z2	57658
Q8WTQ7	131890
Q9Y587	11154
Q8IVF2	113146
Q8N7N1	85002
Q8WV48	203260
Q8IXL6	56975
Q5TA31	149603
Q86XF0	200895
P52943	1397
Q9HCR9	50940
Q13107	7375
Q9UL33	51693
Q8N1M1	144453
Q9Y5N5	29104
Q8IZ02	151827
Q9NZD4	51327
Q8N531	26233
Q8WVK2	11017
Q9H1K6	59274
Q6UXF7	497190
Q7LGA3	9653
P46059	6564
Q7Z7A4	54899
Q86YC2	79728
P28566	3354
P03971	268
Q8NHJ6	11006
Q9H3F6	83892
Q9HBX8	59352
Q9HD45	56889
P27707	1633
Q5T9A4	83858
O75956	10263
P41235	3172
Q9Y2J0	22895
O95810	8436
Q6P4F7	9824
Q14116	3606
Q9BU02	79178
P48745	4856
Q01664	7023
P22695	7385
P49685	2838
Q96CW1	1173
Q5T0N1	118491
Q86TI2	91039
Q9BZX2	7371
Q9BXC9	583
Q9NUQ3	55787
Q9BX84	140803
Q9BSK4	55527
Q09472	2033
Q96DR8	118430
Q12791	3778
Q13733	480
Q96C86	28960
P42566	2060
Q8IYE0	57639
Q969V3	56926
Q9HCM1	55196
P09661	6627
Q96NL3	148103
Q15036	9784
Q14562	1659
Q92565	9771
Q96K58	79759
Q14203	1639
Q9NRC1	7982
P56880	49861
Q9UK05	2658
Q695T7	340024
Q8TAP4	55885
Q9NRB3	55501
P62736	59
P03891	4536
Q8N5T2	55296
Q8N6F7	257144
Q9H267	26276
Q9NRD5	9463
P27449	527
Q96FV2	90507
Q9BS18	25847
P26572	4245
Q8N3R9	64398
O96020	9134
Q15800	6307
O75808	6650
Q13203	4608
Q9HCJ1	56172
Q9BZV1	80700
Q96JQ2	79789
P49335	5456
Q8NBT0	25886
Q9H741	79794
Q15768	1949
Q9BVS5	55006
P09210	2939
Q13336	6563
Q5VUA4	24149
Q7L523	10670
Q9NZJ5	9451
Q9H115	63908
O14981	9044
O60281	23036
Q96MD2	144577
Q495M9	124590
Q5JXA9	284759
Q9HAQ2	64147
Q13568	3663
Q86YD5	143458
Q14588	10780
O00165	10456
Q9HBU6	55500
Q96DM3	29919
Q9ULZ0	102723655
Q9ULZ0	102723713
Q9ULZ0	102724101
Q9ULZ0	102724127
Q9ULZ0	24150
Q9ULZ0	653550
Q9ULZ0	729264
Q9ULZ0	729355
Q9H293	64806
P0DI81	6399
P35443	7060
Q14028	1258
Q5VVH5	134728
O43615	10469
P49748	37
P20645	4074
P10809	3329
Q8N8U9	168667
Q06945	6659
P58397	81792
Q86VM9	124245
Q9H469	79176
P02775	5473
Q5XKL5	284697
Q9UJ96	26251
Q03701	10153
Q5T1H1	346007
P01106	4609
Q13003	2899
Q6JQN1	80724
Q00169	5306
Q13490	329
P60983	2764
Q9BW72	192286
Q9NP85	7827
P53985	6566
P11137	4133
Q9HAS3	64078
Q8IXM2	124944
P28472	2562
Q96RD9	83416
Q96FA7	113763
Q8WU58	55731
P05787	3856
P02452	1277
P37088	6337
Q13515	8419
Q96MT1	153830
Q8N142	122622
Q8IY42	55286
Q4V9L6	338773
Q9HC07	55858
Q08188	7053
Q13753	3918
Q6ZSZ5	23370
Q14802	5349
O43633	27243
P06340	3111
O95391	10569
O60603	7097
Q9NP72	22931
P31025	3933
P61160	10097
Q5QGZ9	160364
Q96PZ2	63901
Q13889	2967
Q9NZR1	29767
O75807	23645
Q9BSN7	79652
Q8NET4	57529
Q70EK8	54532
P37173	7048
A6NLU0	342931
P34913	2053
Q96FJ0	57559
Q5MNZ9	55062
P14174	4282
Q9BSE4	64224
Q9Y285	2193
P14635	891
Q2M389	23325
Q8NCD3	55355
Q9H2I8	83938
Q8NB50	643836
Q9H773	79077
O00203	8546
P35240	4771
Q8TDX5	130013
Q9NZU0	23767
P0C862	338872
O43309	9753
Q6PIZ9	50852
Q92536	9057
Q3KPI0	90273
Q9H0I9	84076
Q96Q40	65061
Q15771	27314
P04792	3315
A6NMX2	253314
A2VDJ0	23240
P49411	7284
Q96DN0	121506
P78406	8480
Q92914	2256
O75695	6102
Q6ZT07	23158
P39086	2897
Q9Y287	9445
Q2KHR2	64864
P10243	4603
Q8N2H9	246330
Q8WZ75	54538
Q8N2G4	116372
