From	To
Q8NEM1	ZNF680
Q9Y496	KIF3A
Q6ZWJ1	STXBP4
Q8TAM1	BBS10
A0A0J9YXM7	TRBJ1-5
Q8NEX6	WFDC11
Q8IY50	SLC35F3
P57723	PCBP4
Q8N567	ZCCHC9
Q96EY1	DNAJA3
P35321	SPRR1A
Q9Y6A4	CFAP20
Q7Z5J1	HSD11B1L
Q5JTN6	WDR38
P02795	MT2A
Q9BWM5	ZNF416
Q15038	DAZAP2
Q2M296	MTHFSD
P10071	GLI3
Q8IWW6	ARHGAP12
Q8NCR3	MFI
P49356	FNTB
Q9BYJ4	TRIM34
Q9UIK5	TMEFF2
Q9NR16	CD163L1
Q96SW2	CRBN
Q9H4M3	FBXO44
A0A0A0MTA7	TRBJ2-1
P86479	PRR20C
Q96P47	AGAP3
O43572	AKAP10
O15121	DEGS1
P07910	HNRNPC
Q8NA92	THAP8
P63092	GNAS
P54829	PTPN5
O60284	ST18
Q9GZN6	SLC6A16
O14521	SDHD
Q15475	SIX1
P46379	BAG6
Q6HA08	ASTL
Q8N2M8	CLASRP
Q6ZN57	ZFP2
Q13621	SLC12A1
Q03393	PTS
Q9H9D4	ZNF408
Q6P280	ZNF529
Q9H2U1	DHX36
Q96NW4	ANKRD27
Q8NAA6	LINC02694
A0A0B4J274	TRAV20
P02790	HPX
P11511	CYP19A1
P37235	HPCAL1
Q96ED9	HOOK2
Q8NH03	OR2T3
Q18PE1	DOK7
A8MUM7	LGALS16
P31947	SFN
P28335	HTR2C
P49913	CAMP
Q9Y236	OSGIN2
Q9NWL6	ASNSD1
Q14814	MEF2D
Q8TCB7	METTL6
Q6MZW2	FSTL4
Q9UHN6	CEMIP2
O94901	SUN1
Q9P2C4	TMEM181
Q96G23	CERS2
Q7L1I2	SV2B
Q9P2S2	NRXN2
Q8WTR2	DUSP19
Q5VZV1	METTL21C
Q5TF58	IFFO2
P43360	MAGEA6
Q8TEY5	CREB3L4
Q2M3G0	ABCB5
Q6I9Y2	THOC7
Q15125	EBP
Q8TD16	BICD2
Q01534	TSPY1
Q96LZ7	RMDN2
P11230	CHRNB1
Q15884	ENTREP1
Q6IPW1	C11orf71
Q99490	AGAP2
Q9HBJ8	CLTRN
P26441	CNTF
Q13523	PRPF4B
O00559	EBAG9
Q15834	CCDC85B
Q562R1	ACTBL2
O75477	ERLIN1
Q5VST9	OBSCN
P36956	SREBF1
O43182	ARHGAP6
Q9Y5E5	PCDHB4
P13501	CCL5
P08123	COL1A2
P08048	ZFY
P02749	APOH
Q92499	DDX1
Q9ULX9	MAFF
Q86UL3	GPAT4
P46781	RPS9
Q9BVI4	NOC4L
P98073	TMPRSS15
Q5TCS8	AK9
P27930	IL1R2
Q9UBF8	PI4KB
Q9Y620	RAD54B
Q9NX63	CHCHD3
Q5R372	RABGAP1L
A8K8P3	SFI1
Q9H446	RWDD1
Q9BUY5	ZNF426
Q86Y22	COL23A1
P0C671	BNIP5
Q6ZRS2	SRCAP
Q06203	PPAT
P84157	MXRA7
O60684	KPNA6
Q9UMD9	COL17A1
Q9UKT9	IKZF3
Q14164	IKBKE
Q15468	STIL
O95785	WIZ
Q96RT1	ERBIN
Q8N3Z6	ZCCHC7
Q9UDX3	SEC14L4
Q96NY8	NECTIN4
A8MTL9	HMSD
Q9UMR7	CLEC4A
O75121	MFAP3L
P35754	GLRX
P29350	PTPN6
Q02556	IRF8
P09923	ALPI
Q6ZS11	RINL
Q8TCJ2	STT3B
