pert_id,target,combined_score
BRD-K11267252,P07949,800
BRD-K11267252,Q9UM73,968
BRD-K11267252,P40763,815
BRD-K94293891,O43614,962
BRD-K94293891,O43613,971
BRD-K14681867,P31391,998
BRD-K14681867,P30872,997
BRD-K14681867,P35346,997
BRD-K14681867,P30874,999
BRD-K14681867,P61278,743
BRD-K14681867,P41143,640
BRD-K14681867,P49683,809
BRD-K14681867,P25101,555
BRD-K14681867,P49146,692
BRD-K14681867,P35372,721
BRD-K34608650,P34972,703
BRD-A31195449,P28335,751
BRD-K10859802,Q8TDV5,907
BRD-K00337317,Q13315,848
BRD-K00337317,P78527,864
BRD-K00337317,O60885,800
BRD-K00337317,Q9HCC0,524
BRD-K00337317,P05166,524
BRD-K00337317,O00329,586
BRD-K00337317,P42338,638
BRD-K33272502,P11712,586
BRD-K33272502,P43115,984
BRD-K46469693,P29275,780
BRD-K46469693,P29274,994
BRD-K18799075,P21554,811
BRD-K18799075,P34972,662
BRD-K55013654,P41595,849
BRD-K55013654,P28335,989
BRD-K55013654,O60656,700
BRD-K55013654,P16662,700
BRD-K55013654,P19224,700
BRD-K55013654,O75795,700
BRD-K55013654,P54855,700
BRD-K26823213,P34972,802
BRD-K47659338,P50406,802
BRD-K47659338,P30939,536
BRD-K47659338,P28222,720
BRD-K47659338,P46098,576
BRD-K46290096,P29275,683
BRD-K46290096,P30542,675
BRD-K46290096,P29274,994
BRD-K09090949,P21554,996
BRD-A14969012,P21918,669
BRD-A14969012,P35462,536
BRD-A94413429,Q15761,828
BRD-K39733634,P35408,777
BRD-K95837862,P41143,832
BRD-K95837862,P41145,999
BRD-K95837862,P35372,939
BRD-A95096829,P21917,768
BRD-A95096829,P41595,591
BRD-A95096829,P08908,511
BRD-K32132269,P28335,747
BRD-K92033419,P28335,747
BRD-K88759641,P30556,926
BRD-K05181084,P14416,711
BRD-K05181084,P35462,961
BRD-K62221994,P30968,964
BRD-K63150726,P34972,968
BRD-K09557221,P21554,950
BRD-K09557221,P34972,597
BRD-K81074237,P11712,800
BRD-K81074237,P30556,926
BRD-K81074237,P50052,846
BRD-K81074237,Q9BYF1,836
BRD-K22749967,P01100,800
BRD-K22749967,Q9H3N8,731
BRD-K22749967,Q9Y5N1,997
BRD-K58010567,Q01959,723
BRD-K58010567,P08908,996
BRD-K58010567,P35462,574
BRD-K58010567,P23975,721
BRD-K58010567,P31645,993
BRD-K72024482,P29275,953
BRD-K72024482,P30542,852
BRD-K72024482,P29274,784
BRD-K89208535,P07550,998
BRD-K89208535,P13945,822
BRD-K89208535,P08588,870
BRD-K89208535,P08253,665
BRD-K89208535,P14780,784
BRD-K01767299,Q9H3N8,789
BRD-K01767299,P08913,923
BRD-K01767299,Q9Y5N1,985
BRD-K01767299,P18825,922
BRD-K77171813,Q9H3N8,832
BRD-K77171813,Q9Y5N1,985
BRD-K82467063,P21917,509
BRD-K82467063,P50406,991
BRD-K82467063,P08908,508
BRD-K82467063,P30939,522
BRD-K82467063,P34969,590
BRD-K43290182,P50406,973
BRD-K31912990,P08913,599
BRD-K31912990,P49146,529
BRD-K31912990,Q15761,989
BRD-K31912990,P25929,755
BRD-K31912990,P50391,586
BRD-K31912990,P01303,864
BRD-K91243525,O95665,980
BRD-K91243525,P30989,996
BRD-K91243525,P30990,745
BRD-K53979406,Q99884,669
BRD-K53979406,Q99884,669
BRD-K53979406,P47211,737
BRD-K53979406,P47211,737
BRD-K53979406,P48067,989
BRD-K53979406,P48067,989
BRD-K53979406,Q9Y345,718
BRD-K53979406,Q9Y345,718
BRD-K05528470,P21917,970
BRD-K05528470,P14416,649
BRD-K05528470,P35462,708
BRD-K05528470,Q86YM7,800
BRD-K02490038,P25101,556
BRD-K02490038,P24530,932
BRD-A37347161,P41145,996
BRD-A37347161,P41146,515
BRD-A55484088,P41143,996
BRD-A55484088,P41145,972
BRD-A55484088,P35372,995
BRD-A55484088,P08493,629
BRD-K18722736,P41143,996
BRD-K18722736,P41145,972
BRD-K18722736,P35372,995
BRD-K18722736,P08493,629
BRD-K20742498,Q13639,826
BRD-K95110148,P01100,815
BRD-K95110148,P41143,984
BRD-K95110148,P41145,998
BRD-K95110148,Q9Y5X5,507
BRD-K95110148,P41146,911
BRD-K95110148,P48146,503
BRD-K95110148,P35372,999
BRD-K95110148,Q9NZ42,562
BRD-K95110148,Q96CW1,505
BRD-K95110148,Q9Y6Q5,513
BRD-K95110148,P09488,505
BRD-K95110148,P01189,869
BRD-K37714784,P21917,890
BRD-K11373525,P30556,993
BRD-K11373525,P50052,525
BRD-A33084410,Q14940,800
BRD-A33084410,P41143,884
BRD-A33084410,P41145,998
BRD-A33084410,P35372,988
BRD-A33084410,Q02156,818
BRD-K33864865,P32238,669
BRD-K33864865,P32239,980
BRD-K01648091,P21917,824
BRD-K01648091,P21918,989
BRD-K01648091,P14416,718
BRD-K01648091,P35462,685
BRD-K59419204,P21554,883
BRD-A17428743,P41595,984
BRD-A17428743,P28335,957
BRD-A17428743,P50406,584
BRD-A17428743,P28222,697
BRD-A23683907,P28222,594
BRD-K24201553,P47898,682
BRD-K24201553,P08908,607
BRD-K24201553,P34969,997
BRD-K24201553,P14416,549
BRD-A83650191,P08913,639
BRD-A83650191,P35368,700
BRD-A83650191,P25100,630
BRD-A83650191,P35348,981
BRD-A83650191,P10916,515
BRD-K62581435,P35368,924
BRD-K62581435,P25100,964
BRD-K62581435,P35348,987
BRD-K50293352,P08908,777
BRD-K87048468,P41595,707
BRD-K87048468,P28335,987
BRD-K87048468,P08913,510
BRD-K47761761,P01100,800
BRD-K47761761,P21917,826
BRD-K47761761,P30556,839
BRD-K47761761,P14416,659
BRD-K47761761,P48549,764
BRD-A11609859,P41143,973
BRD-A11609859,P41145,537
BRD-A11609859,P30542,529
BRD-A11609859,P35372,892
BRD-K22878149,P41143,973
BRD-K22878149,P41145,537
BRD-K22878149,P30542,529
BRD-K22878149,P35372,892
BRD-K80639402,P50406,947
BRD-K80639402,P30939,540
BRD-K80639402,P34969,501
BRD-K45662124,P21917,805
BRD-K73290745,P41143,731
BRD-K73290745,P41145,999
BRD-K73290745,P35372,866
BRD-A72322024,P29275,610
BRD-A72322024,P29274,778
BRD-K52436943,P21554,979
BRD-K52436943,P34972,999
BRD-K52436943,Q9Y2T6,501
BRD-K34092021,P21554,600
BRD-K17378184,P21917,831
BRD-K17378184,P41595,634
BRD-K17378184,P08913,815
BRD-K17378184,P35368,679
BRD-K17378184,P08908,703
BRD-K17378184,P14416,671
BRD-K17378184,P25100,679
BRD-K17378184,P35348,725
BRD-K17378184,P35462,998
BRD-K63874012,Q9H3N8,994
