pert_id,Target_UniProt,Target_Species,Assay_Type,Assay_Relation,Assay_Value,EvidenceLevel_Assigned,Database
BRD-K56343971,P04049,Homo sapiens,IC50,=,48.0,III,BindingDB
BRD-K56343971,P04049,Homo sapiens,IC50,=,,III,IUPHAR
BRD-K56343971,P04049,Homo sapiens,IC50,=,,III,IUPHAR
BRD-K56343971,P00533,Homo sapiens,IC50,>,10000.0,III,BindingDB
BRD-K56343971,P15056,Homo sapiens,,,,I,Therapeutic Target Database
BRD-K56343971,P15056,Homo sapiens,,,,II,DrugBank
BRD-K56343971,P15056,Homo sapiens,,,,I,DrugBank
BRD-K56343971,P15056,Homo sapiens,IC50,=,23.0,III,BindingDB
BRD-K56343971,P15056,Homo sapiens,IC50,=,100.0,III,IUPHAR
BRD-K56343971,P15056,Homo sapiens,IC50,=,33.0,III,BindingDB
BRD-K56343971,P15056,Homo sapiens,IC50,=,21.0,III,BindingDB
BRD-K56343971,P15056,Homo sapiens,IC50,=,100.0,III,BindingDB
BRD-K03601870,Q13509,Homo sapiens,,,,II,DrugBank
BRD-K03601870,Q13509,Homo sapiens,,,,II,DrugBank
BRD-K03601870,Q13509,Homo sapiens,,,,II,DrugBank
BRD-K03601870,P07437,Homo sapiens,,,,I,IUPHAR
BRD-K15179879,P49721,Homo sapiens,,,,II,DrugBank
BRD-K15179879,Q99436,Homo sapiens,IC50,=,8.6,III,BindingDB
BRD-K15179879,P07858,Homo sapiens,IC50,=,11000.0,III,BindingDB
BRD-K15179879,P28074,Homo sapiens,,,,II,DrugBank
BRD-K15179879,P28074,Homo sapiens,IC50,=,8.6,III,BindingDB
BRD-K15179879,P28074,Homo sapiens,IC50,=,5.699999809,III,IUPHAR
BRD-K15179879,P28065,Homo sapiens,,,,II,DrugBank
BRD-K15179879,P10619,Homo sapiens,IC50,>,30000.0,III,BindingDB
BRD-K15179879,P28062,Homo sapiens,,,,II,DrugBank
BRD-K15179879,P28062,Homo sapiens,IC50,=,14.0,III,BindingDB
BRD-K15179879,P20618,Homo sapiens,,,,II,DrugBank
BRD-K15179879,P08311,Homo sapiens,IC50,>,30000.0,III,BindingDB
BRD-K15179879,P40306,Homo sapiens,,,,II,DrugBank
BRD-K44827188,P56726,Mus musculus,IC50,=,1.5,III,BindingDB
